Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:0eaVIYo2zeOaGJeqZ5TwYz,0.328,0.631,5,-5.169,0,0.0465,0.0714,0.0,0.567,0.382,85.262,187613,4
spotify:track:6w9GrSUaQQIaMBYtabge7p,0.861,0.496,4,-5.537,0,0.0357,0.382,2.57e-06,0.107,0.543,116.008,192693,4
spotify:track:1g4DPOlfsDTIzq9fTU2SFE,0.741,0.563,10,-6.721,0,0.049,0.488,0.0,0.191,0.448,125.026,123000,4
spotify:track:5ugcpEprRXs0HnZ1iMFXed,0.78,0.622,7,-3.349,0,0.0725,0.237,4.97e-06,0.288,0.487,144.026,194453,4
spotify:track:0J8oWLQ8wp3xparv98OJsa,0.642,0.473,4,-6.315,0,0.0893,0.42,1.4e-06,0.548,0.263,119.919,114000,4
spotify:track:0AVgSiAUfEnhSma5WN6I1f,0.732,0.589,5,-6.234,0,0.0425,0.265,4.03e-05,0.103,0.396,131.973,192720,4
spotify:track:2avmc6AW7RbsYOC77jJhmi,0.499,0.734,2,-4.782,1,0.0994,0.219,0.0,0.207,0.322,104.97,222387,4
spotify:track:5JhgHKSGGxsAaDJAiLP8OW,0.65,0.714,5,-5.517,0,0.13,0.151,0.0,0.479,0.769,119.223,160013,5
spotify:track:2c44NyHXDy1lIfuoSOufVi,0.611,0.593,6,-5.484,0,0.0569,0.244,0.0,0.323,0.411,143.446,210853,4
spotify:track:0kAUw5oISoFhmEpDlX5Abg,0.63,0.564,0,-6.174,1,0.0373,0.21,8.35e-06,0.114,0.214,141.909,233227,4
spotify:track:1EDJSktmcGoYEZxXAJXVTt,0.491,0.851,11,-4.434,1,0.0784,0.0882,0.361,0.0873,0.475,167.783,241440,4
spotify:track:0KRMp8ZfDguS9wiZiOiuAk,0.787,0.643,2,-6.73,1,0.0444,0.427,0.00139,0.105,0.304,147.936,184853,4
spotify:track:2Ryzn1QqRKIKbAMNEXbLSB,0.858,0.641,1,-4.31,0,0.0954,0.111,2.12e-05,0.109,0.445,136.991,238253,4
spotify:track:5cz1jba7M09O8WNPXCYddx,0.5,0.738,1,-4.477,0,0.417,0.41,3.97e-06,0.223,0.433,185.577,168627,4
spotify:track:5bXnD0NJZ1AV0SlrDOUWeh,0.77,0.541,5,-5.719,1,0.08,0.336,0.0,0.141,0.407,139.972,174480,4
spotify:track:7gEUdaVffLsb2qgdj90cBk,0.461,0.496,1,-5.996,0,0.0346,0.0644,0.000379,0.327,0.317,167.943,208373,4
spotify:track:7oF6fJDOdiflG6GbYSMeV7,0.64,0.6,1,-4.249,0,0.0342,0.18,4.07e-06,0.532,0.361,129.912,180933,4
spotify:track:5X3dOilXRTEVqyRbZhM49U,0.603,0.684,7,-6.023,0,0.0887,0.378,0.00138,0.16,0.38,152.03,236840,4
spotify:track:4tiWlKXUB47UpAXqpfoJn4,0.498,0.511,5,-5.179,0,0.0653,0.325,0.0,0.163,0.46,135.029,226707,1
spotify:track:3S9i1ICfQjMmJYWbtnmN0f,0.603,0.553,2,-6.26,0,0.0549,0.545,1.55e-05,0.196,0.277,84.054,176187,4
spotify:track:0jNFDcGAXPs5ahngmD5R6n,0.403,0.405,4,-7.718,0,0.0431,0.602,0.0,0.239,0.0524,100.626,156248,4
spotify:track:2OcbewDrWFNTYRqpSzJBCY,0.898,0.518,1,-6.991,1,0.21,0.0402,0.0,0.106,0.798,145.082,132398,4
spotify:track:0HNKMJ2EKCaT2EqcCBj1EH,0.752,0.531,1,-6.236,1,0.0568,0.0534,0.0,0.124,0.2,131.97,196011,4
spotify:track:25r6MZ4Gtd76l43qnZI1DG,0.8,0.541,10,-5.05,0,0.0375,0.0252,0.0,0.146,0.194,135.99,183514,4
spotify:track:7iC56CDz8miPDKaH0OEIqS,0.656,0.672,10,-7.385,0,0.0468,0.0636,1.45e-05,0.186,0.137,130.006,217609,4
spotify:track:2XK2iL9gSAlYIAbklTHxbk,0.674,0.644,1,-8.576,0,0.11,0.327,1.75e-06,0.337,0.667,123.049,191248,4
spotify:track:0sze9rycXZswg5emYTFklv,0.698,0.344,6,-6.718,1,0.0692,0.181,1.01e-06,0.127,0.351,67.238,288852,4
spotify:track:0IX5OFffosy8wk16m1IFCa,0.56,0.707,1,-6.863,0,0.07,0.264,0.000268,0.108,0.341,147.0,198058,4
spotify:track:1HpAxf0kdqZSAisutLE5CW,0.703,0.539,1,-6.747,0,0.199,0.576,0.0,0.114,0.597,88.977,165749,4
spotify:track:3nfARfVxSqwFahp3yY53aD,0.52,0.725,8,-6.959,0,0.23,0.145,0.0,0.114,0.322,72.807,155132,3
spotify:track:63oDfrgZRgZrTJE88GGC5I,0.74,0.49,7,-6.118,0,0.287,0.488,0.0,0.0818,0.349,149.972,211406,4
spotify:track:3dVsUkabHea7AVFjm92gZ4,0.477,0.407,8,-7.148,1,0.0604,0.0625,0.0,0.14,0.109,123.082,226095,4
spotify:track:7AiN0hMC6PkB59VndNtNsJ,0.713,0.671,1,-6.515,0,0.327,0.3,0.0,0.243,0.659,119.915,199845,4
spotify:track:4qS2KPWvsQzLvRa9oCHw41,0.782,0.528,1,-6.035,0,0.0532,0.409,7.89e-05,0.0999,0.389,117.977,213637,4
spotify:track:2iu60eTIm2py6MaoVMcBAR,0.622,0.501,0,-7.325,1,0.0816,0.783,3.77e-06,0.301,0.512,81.478,159033,4
spotify:track:5q37UhJgXRZwIIkdUGTZFb,0.652,0.571,6,-7.626,1,0.104,0.0894,0.0,0.0981,0.392,144.076,199710,4
