Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,danceability_energy_ratio,danceability_valence_ratio
spotify:track:0AyA2lHB4YnQUNa8Y6NNjm,0.652,0.663,1,-8.096,1,0.0628,0.0199,0.0,0.132,0.28,125.803,154632,4,0.43227600000000005,0.18256000000000003
spotify:track:0s9xZDmDtrZKvgXVNJl5VS,0.79,0.564,1,-7.592,1,0.413,0.0809,0.0,0.0988,0.818,172.996,177572,4,0.44555999999999996,0.64622
spotify:track:2jd0mRbnEOwzLJek2Cnoif,0.571,0.692,1,-7.68,1,0.355,0.0487,0.0,0.0785,0.515,90.495,254880,4,0.3951319999999999,0.29406499999999997
spotify:track:2G7q7mDahLOYJL5hgbahk7,0.402,0.501,11,-8.377,1,0.0637,0.112,0.00022,0.113,0.366,84.162,262833,4,0.20140200000000003,0.147132
spotify:track:4THNDOymL2SPjujONNHVGW,0.729,0.635,1,-5.858,1,0.112,0.00524,0.0,0.16,0.149,77.021,202597,4,0.462915,0.108621
spotify:track:4fLE3TsDUvWdjpMTTPQflP,0.771,0.693,11,-6.605,0,0.205,0.00797,0.0,0.0996,0.168,92.472,251676,4,0.534303,0.129528
spotify:track:5XaN6ktVaeP0Vg8BDUgezJ,0.729,0.632,2,-8.642,1,0.147,0.0523,0.0,0.103,0.121,99.98,242500,4,0.46072799999999997,0.088209
spotify:track:7GvB7qLV2OJTEzSuAHXiX9,0.592,0.558,9,-7.919,0,0.393,0.0206,0.0,0.13,0.299,87.557,256492,4,0.330336,0.17700799999999997
spotify:track:08WZuB5siETwXVKIz8TP6q,0.478,0.555,1,-9.094,1,0.286,0.034,0.0,0.308,0.272,75.152,164384,4,0.26529,0.130016
spotify:track:6NrB2hKwlyVfFY8qhKc8U6,0.781,0.502,8,-7.397,1,0.0909,0.0238,0.0,0.097,0.535,161.042,155031,4,0.392062,0.417835
spotify:track:3b3wd8foO6R5xXp09Erpma,0.584,0.479,9,-8.785,1,0.0567,0.00932,0.0,0.109,0.0997,129.864,236308,4,0.279736,0.05822479999999999
spotify:track:2xor4R1bkFSBzNjBI55573,0.476,0.62,8,-9.857,0,0.501,0.149,0.0,0.131,0.217,90.82,454667,4,0.29512,0.103292
spotify:track:7ci13R5uD46YLsPgvzeqUj,0.565,0.524,10,-9.885,0,0.349,0.337,0.0,0.11,0.455,90.187,172000,4,0.29606,0.257075
spotify:track:4XpEKhMJYM5u0ftbXYGodA,0.843,0.445,7,-9.703,1,0.0622,0.241,0.0,0.157,0.471,98.01,264834,4,0.375135,0.397053
spotify:track:5khTeTX6atjRPmaZkwlY8P,0.499,0.506,1,-9.916,1,0.378,0.0848,4.52e-06,0.111,0.269,146.756,215933,4,0.252494,0.13423100000000002
spotify:track:0UOffJQUV0dFB5SMEJ0rwV,0.705,0.437,4,-9.745,0,0.111,0.166,0.0,0.37,0.141,107.291,173333,4,0.308085,0.09940499999999998
spotify:track:10kGjJHPc4m9CFtWbyNBn1,0.587,0.697,0,-8.121,1,0.453,0.0242,0.0,0.148,0.157,161.182,241491,4,0.409139,0.09215899999999999
spotify:track:4gZzHudIKCUki754m48Pxw,0.617,0.454,9,-11.863,0,0.367,0.306,0.0,0.111,0.253,86.22,217333,4,0.280118,0.156101
spotify:track:7nNnJFyjTQbdVxPT3kPS3U,0.737,0.271,8,-11.861,0,0.198,0.202,0.0,0.0974,0.304,93.057,225333,4,0.19972700000000002,0.224048
spotify:track:0z3fYKRTS4HL4g0Ul5Czgn,0.759,0.501,10,-5.132,0,0.471,0.0329,0.0,0.102,0.581,167.989,245714,4,0.380259,0.44097899999999995
