,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres,danceability_energy_ratio,danceability_valence_ratio
2,,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773.0,4,alternative,0.283569,0.12226499999999998
10,,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373.0,4,alternative,0.29986199999999996,0.20266199999999998
17,,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018,185587.0,4,alternative,0.428048,0.120528
21,,0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,250547.0,4,alternative,0.363853,0.150332
22,,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,167067.0,4,alternative,0.38929800000000003,0.296856
26,,0.472,0.671,4,-4.649,1,0.029,0.0129,0.0,0.159,0.0681,82.952,232800.0,4,alternative,0.316712,0.0321432
27,,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,181533.0,4,alternative,0.41680599999999995,0.345202
30,,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,255373.0,4,alternative,0.36411000000000004,0.23495400000000002
32,,0.463,0.857,4,-3.063,1,0.0632,0.0506,0.0,0.184,0.856,111.647,161920.0,4,alternative,0.396791,0.396328
36,,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,88.785,313573.0,4,alternative,0.388178,0.308026
42,,0.433,0.959,9,-4.04,1,0.0431,0.000917,0.0,0.028,0.365,172.984,269373.0,4,alternative,0.415247,0.158045
43,,0.497,0.97,10,-4.851,0,0.0836,9.04e-05,0.000674,0.101,0.689,138.081,197200.0,4,alternative,0.48208999999999996,0.342433
47,,0.494,0.842,7,-4.784,1,0.0843,0.00579,0.0,0.122,0.574,162.011,229093.0,4,alternative,0.415948,0.283556
49,,0.492,0.81,7,-5.315,1,0.0847,0.0416,0.00379,0.117,0.245,149.954,251840.0,4,alternative,0.39852000000000004,0.12054
51,,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,302840.0,4,alternative,0.41988100000000006,0.077572
56,,0.467,0.988,11,-3.313,1,0.112,0.000152,0.0484,0.28,0.321,130.433,220427.0,4,alternative,0.46139600000000003,0.149907
69,,0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,219827.0,4,alternative,0.317361,0.37653
85,,0.402,0.914,9,-5.215,1,0.142,0.000579,0.0,0.065,0.626,196.505,178267.0,4,alternative,0.36742800000000003,0.25165200000000004
86,,0.494,0.939,1,-3.127,1,0.126,0.00666,0.0,0.139,0.893,177.751,175093.0,4,alternative,0.46386599999999995,0.441142
89,,0.467,0.958,4,-4.808,0,0.0775,0.000479,0.199,0.299,0.701,145.92,180880.0,4,alternative,0.447386,0.327367
92,,0.446,0.632,1,-12.197,1,0.034,0.0793,0.000266,0.0881,0.359,113.176,233173.0,4,alternative,0.281872,0.160114
93,,0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245,186813.0,4,alternative,0.35123200000000004,0.105728
96,,0.438,0.94,2,-3.249,1,0.0452,8.74e-05,0.0777,0.3,0.421,100.99,261000.0,3,alternative,0.41172,0.184398
121,,0.424,0.615,9,-6.217,0,0.0325,0.0158,0.000389,0.0844,0.155,77.935,318591.0,4,alternative,0.26076,0.06572
141,,0.459,0.276,11,-10.339,1,0.036,0.63,9.5e-05,0.104,0.128,114.169,248827.0,4,alternative,0.12668400000000002,0.058752000000000006
153,,0.472,0.745,4,-5.297,1,0.0356,0.000607,2.74e-05,0.0957,0.0631,180.06,252926.0,4,alternative,0.35163999999999995,0.0297832
155,,0.444,0.557,0,-5.476,1,0.0602,0.453,0.0,0.152,0.296,115.058,234910.0,4,alternative,0.24730800000000003,0.13142399999999999
161,,0.48,0.311,9,-7.887,1,0.0258,0.313,1.52e-05,0.113,0.162,86.15,391829.0,4,alternative,0.14928,0.07776
165,,0.495,0.931,2,-5.336,0,0.0469,0.0025,0.0819,0.246,0.617,104.05,244293.0,4,alternative,0.460845,0.305415
173,,0.464,0.814,10,-6.371,1,0.0369,0.00882,0.2,0.162,0.467,161.845,298920.0,4,alternative,0.377696,0.21668800000000002
174,,0.431,0.771,5,-7.176,1,0.0375,0.0877,0.0214,0.121,0.772,201.002,145893.0,4,alternative,0.332301,0.332732
179,,0.447,0.848,2,-6.175,1,0.222,0.033,7.46e-05,0.65,0.485,172.253,205200.0,4,alternative,0.379056,0.216795
187,,0.464,0.797,0,-5.244,1,0.0333,0.006,0.000304,0.392,0.547,129.964,213173.0,4,alternative,0.369808,0.25380800000000003
194,,0.442,0.887,4,-5.943,0,0.1,0.0259,4.57e-06,0.0655,0.637,146.358,218080.0,4,alternative,0.392054,0.281554
