,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
2,spotify:track:3AJwUDP919kvQ9QcozQPxg,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773,4,Alternative
10,spotify:track:1mea3bSkSGXuIRvnydlB5b,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373,4,Alternative
17,spotify:track:2nLtzopw4rPReszdYBJU6h,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018,185587,4,Alternative
21,spotify:track:5UWwZ5lm5PKu6eKsHAGxOk,0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,250547,4,Alternative
22,spotify:track:2m1hi0nfMR9vdGC8UcrnwU,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,167067,4,Alternative
26,spotify:track:77loZpT5Y5PRP1S451P9Yz,0.472,0.671,4,-4.649,1,0.029,0.0129,0.0,0.159,0.0681,82.952,232800,4,Alternative
27,spotify:track:6L89mwZXSOwYl76YXfX13s,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,181533,4,Alternative
30,spotify:track:64BbK9SFKH2jk86U3dGj2P,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,255373,4,Alternative
32,spotify:track:7j31rVgGX9Q2blT92VBEA0,0.463,0.857,4,-3.063,1,0.0632,0.0506,0.0,0.184,0.856,111.647,161920,4,Alternative
36,spotify:track:59WN2psjkt1tyaxjspN8fp,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,88.785,313573,4,Alternative
42,spotify:track:7x8dCjCr0x6x2lXKujYD34,0.433,0.959,9,-4.04,1,0.0431,0.000917,0.0,0.028,0.365,172.984,269373,4,Alternative
43,spotify:track:6PwjJ58I4t7Mae9xfZ9l9v,0.497,0.97,10,-4.851,0,0.0836,9.04e-05,0.000674,0.101,0.689,138.081,197200,4,Alternative
47,spotify:track:2TfSHkHiFO4gRztVIkggkE,0.494,0.842,7,-4.784,1,0.0843,0.00579,0.0,0.122,0.574,162.011,229093,4,Alternative
49,spotify:track:1YLJVmuzeM2YSUkCCaTNUB,0.492,0.81,7,-5.315,1,0.0847,0.0416,0.00379,0.117,0.245,149.954,251840,4,Alternative
51,spotify:track:1jJci4qxiYcOHhQR247rEU,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,302840,4,Alternative
56,spotify:track:70wYA8oYHoMzhRRkARoMhU,0.467,0.988,11,-3.313,1,0.112,0.000152,0.0484,0.28,0.321,130.433,220427,4,Alternative
69,spotify:track:57Xjny5yNzAcsxnusKmAfA,0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,219827,4,Alternative
85,spotify:track:4KacUpvbA3Mfo05gttTjhN,0.402,0.914,9,-5.215,1,0.142,0.000579,0.0,0.065,0.626,196.505,178267,4,Alternative
86,spotify:track:0BRHnOFm6sjxN1i9LJrUDu,0.494,0.939,1,-3.127,1,0.126,0.00666,0.0,0.139,0.893,177.751,175093,4,Alternative
89,spotify:track:5xC8uOesnn0udeXAYlAnoY,0.467,0.958,4,-4.808,0,0.0775,0.000479,0.199,0.299,0.701,145.92,180880,4,Alternative
92,spotify:track:1Ic9pKxGSJGM0LKeqf6lGe,0.446,0.632,1,-12.197,1,0.034,0.0793,0.000266,0.0881,0.359,113.176,233173,4,Alternative
93,spotify:track:4G8gkOterJn0Ywt6uhqbhp,0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245,186813,4,Alternative
96,spotify:track:4iG2gAwKXsOcijVaVXzRPW,0.438,0.94,2,-3.249,1,0.0452,8.74e-05,0.0777,0.3,0.421,100.99,261000,3,Alternative
121,spotify:track:5M4yti0QxgqJieUYaEXcpw,0.424,0.615,9,-6.217,0,0.0325,0.0158,0.000389,0.0844,0.155,77.935,318591,4,Alternative
141,spotify:track:23rdcrD0Eky4vYn2TZidxJ,0.459,0.276,11,-10.339,1,0.036,0.63,9.5e-05,0.104,0.128,114.169,248827,4,Alternative
153,spotify:track:6WmIyn2fx1PKQ0XDpYj4VR,0.472,0.745,4,-5.297,1,0.0356,0.000607,2.74e-05,0.0957,0.0631,180.06,252926,4,Alternative
155,spotify:track:5WI2ltQIdwgzf1SNE76JyR,0.444,0.557,0,-5.476,1,0.0602,0.453,0.0,0.152,0.296,115.058,234910,4,Alternative
161,spotify:track:1yYlpGuBiRRf33e1gY61bN,0.48,0.311,9,-7.887,1,0.0258,0.313,1.52e-05,0.113,0.162,86.15,391829,4,Alternative
