,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres,danceability_energy_ratio,danceability_valence_ratio
3,,0.419,0.0238,2,-30.621,1,0.0507,0.994,0.959,0.0925,0.153,130.398,160169.0,3,classical,0.0099722,0.064107
12,,0.438,0.00573,4,-32.085,0,0.0498,0.989,0.953,0.0792,0.0931,102.927,389178.0,4,classical,0.00250974,0.0407778
21,,0.425,0.0127,11,-28.062,1,0.0445,0.981,0.968,0.0982,0.087,95.725,140027.0,4,classical,0.0053974999999999995,0.036974999999999994
31,,0.473,0.0523,7,-29.472,1,0.0465,0.991,0.948,0.0678,0.414,114.736,249825.0,4,classical,0.024737899999999997,0.19582199999999997
34,,0.497,0.041,2,-28.093,0,0.0341,0.995,0.956,0.119,0.0399,76.065,209230.0,4,classical,0.020377,0.0198303
39,,0.428,0.0305,5,-31.601,1,0.0703,0.994,0.962,0.104,0.295,80.797,159664.0,4,classical,0.013054,0.12625999999999998
48,,0.424,0.0453,4,-31.189,0,0.0341,0.991,0.943,0.132,0.0822,67.343,465279.0,4,classical,0.0192072,0.034852799999999996
56,,0.45,0.0441,3,-31.032,1,0.0431,0.992,0.952,0.0952,0.602,119.213,89879.0,4,classical,0.019845,0.2709
57,,0.429,0.104,4,-18.475,1,0.087,0.991,0.933,0.109,0.196,75.546,125750.0,1,classical,0.044615999999999996,0.084084
68,,0.437,0.129,2,-17.686,1,0.0354,0.967,0.875,0.104,0.342,73.472,246333.0,4,classical,0.056373,0.149454
69,,0.441,0.319,3,-13.99,1,0.0392,0.829,0.0,0.0765,0.671,99.419,453507.0,4,classical,0.140679,0.29591100000000004
71,,0.429,0.258,7,-16.967,0,0.0549,0.957,0.893,0.115,0.0972,78.809,112353.0,1,classical,0.110682,0.041698799999999994
74,,0.427,0.0451,3,-24.698,1,0.041,0.99,0.913,0.112,0.0707,119.78,268427.0,3,classical,0.0192577,0.030188899999999998
81,,0.487,0.0283,7,-22.081,0,0.0521,0.993,0.912,0.121,0.0745,68.914,120020.0,4,classical,0.013782099999999999,0.036281499999999994
84,,0.441,0.149,3,-28.213,1,0.0486,0.99,0.906,0.103,0.252,122.023,352760.0,3,classical,0.065709,0.111132
92,,0.431,0.291,0,-15.213,1,0.0668,0.992,0.124,0.282,0.387,69.566,296213.0,4,classical,0.12542099999999998,0.166797
127,,0.491,0.0176,4,-26.911,0,0.0644,0.994,0.927,0.0985,0.0901,125.793,346587.0,3,classical,0.008641600000000001,0.044239099999999996
141,,0.436,0.151,11,-20.745,0,0.0603,0.955,0.793,0.11,0.359,103.777,153267.0,4,classical,0.06583599999999999,0.156524
142,,0.465,0.128,9,-17.628,0,0.0519,0.978,0.271,0.0423,0.428,111.471,268853.0,4,classical,0.05952,0.19902
