,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
3,spotify:track:4CbMEfUdfYlWVPP6zTa5zv,0.419,0.0238,2,-30.621,1,0.0507,0.994,0.959,0.0925,0.153,130.398,160169,3,Classical
12,spotify:track:7FsksSVGUecef3IeSPEjp9,0.438,0.00573,4,-32.085,0,0.0498,0.989,0.953,0.0792,0.0931,102.927,389178,4,Classical
21,spotify:track:2I32YvCQa04JV02VkAwfzz,0.425,0.0127,11,-28.062,1,0.0445,0.981,0.968,0.0982,0.087,95.725,140027,4,Classical
31,spotify:track:6N4UlgSWzvSKwL4P80nT8t,0.473,0.0523,7,-29.472,1,0.0465,0.991,0.948,0.0678,0.414,114.736,249825,4,Classical
34,spotify:track:6AGA4j46aZkdKmH8m40uFi,0.497,0.041,2,-28.093,0,0.0341,0.995,0.956,0.119,0.0399,76.065,209230,4,Classical
39,spotify:track:0wYbYdtkfwTkVR6pGWyp5Q,0.428,0.0305,5,-31.601,1,0.0703,0.994,0.962,0.104,0.295,80.797,159664,4,Classical
48,spotify:track:3Oiebo5OzKkc51CIjTKjz6,0.424,0.0453,4,-31.189,0,0.0341,0.991,0.943,0.132,0.0822,67.343,465279,4,Classical
56,spotify:track:0MX1QJaEtPEZ95ieVRS464,0.45,0.0441,3,-31.032,1,0.0431,0.992,0.952,0.0952,0.602,119.213,89879,4,Classical
57,spotify:track:54ujcOYH8BleF6uWEPPlUn,0.429,0.104,4,-18.475,1,0.087,0.991,0.933,0.109,0.196,75.546,125750,1,Classical
68,spotify:track:0Ied2vKKS5EKGy4IB8C9zg,0.437,0.129,2,-17.686,1,0.0354,0.967,0.875,0.104,0.342,73.472,246333,4,Classical
69,spotify:track:3nxaPqAOxUxkLhIhbvmv4t,0.441,0.319,3,-13.99,1,0.0392,0.829,0.0,0.0765,0.671,99.419,453507,4,Classical
71,spotify:track:3Dgmyz32dxvtxvUTPS0CUI,0.429,0.258,7,-16.967,0,0.0549,0.957,0.893,0.115,0.0972,78.809,112353,1,Classical
74,spotify:track:7n92QzQomRCLlciO14X0kd,0.427,0.0451,3,-24.698,1,0.041,0.99,0.913,0.112,0.0707,119.78,268427,3,Classical
81,spotify:track:4LqdjIv6gZRFCp1415MMap,0.487,0.0283,7,-22.081,0,0.0521,0.993,0.912,0.121,0.0745,68.914,120020,4,Classical
84,spotify:track:4kU9wsJUbJbccEgMB8NZhG,0.441,0.149,3,-28.213,1,0.0486,0.99,0.906,0.103,0.252,122.023,352760,3,Classical
92,spotify:track:6wRcTF4492foSZMTbqTsAn,0.431,0.291,0,-15.213,1,0.0668,0.992,0.124,0.282,0.387,69.566,296213,4,Classical
127,spotify:track:3MRQn2RYo2VLYMoStnLRxu,0.491,0.0176,4,-26.911,0,0.0644,0.994,0.927,0.0985,0.0901,125.793,346587,3,Classical
141,spotify:track:3VQ7hwiEfaHDl3AySgyaiR,0.436,0.151,11,-20.745,0,0.0603,0.955,0.793,0.11,0.359,103.777,153267,4,Classical
142,spotify:track:6cC6h5E351deEGFd7Kh9uy,0.465,0.128,9,-17.628,0,0.0519,0.978,0.271,0.0423,0.428,111.471,268853,4,Classical
150,spotify:track:64ZxBE1ZgK4C0lGljXzDcG,0.48,0.163,5,-19.117,0,0.0645,0.81,0.754,0.093,0.212,158.366,204147,4,Classical
159,spotify:track:4CD6Jf096kKD8F0eHK8yCw,0.463,0.162,7,-24.484,0,0.045,0.963,0.825,0.0943,0.374,125.514,359667,4,Classical
