,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres,danceability_energy_ratio,danceability_valence_ratio
31,,0.434,0.66,6,-5.605,1,0.0359,0.0122,6.12e-06,0.103,0.315,127.968,198867.0,4,electronic,0.28644000000000003,0.13671
140,,0.456,0.85,0,-7.897,1,0.0853,0.00271,3.75e-05,0.231,0.132,132.866,190903.0,4,electronic,0.3876,0.060192
216,,0.457,0.851,8,-3.919,1,0.056,0.00181,0.00849,0.138,0.238,122.916,105361.0,4,electronic,0.388907,0.108766
220,,0.429,0.822,8,-7.071,1,0.0455,0.00318,7.58e-06,0.559,0.29,148.3,117529.0,4,electronic,0.35263799999999995,0.12440999999999999
227,,0.499,0.839,4,-3.104,1,0.0749,4.83e-05,0.674,0.342,0.785,146.147,136110.0,4,electronic,0.418661,0.39171500000000004
265,,0.499,0.902,1,-3.846,0,0.0644,0.000149,0.00138,0.252,0.407,124.934,127440.0,4,electronic,0.450098,0.203093
290,,0.436,0.623,4,-12.623,1,0.438,0.133,0.0,0.303,0.701,174.709,254720.0,5,electronic,0.271628,0.30563599999999996
301,,0.477,0.655,9,-6.0,0,0.101,0.411,0.0203,0.108,0.0355,174.007,213686.0,4,electronic,0.312435,0.016933499999999997
310,,0.435,0.911,6,-4.339,1,0.0378,0.00384,0.812,0.221,0.224,173.98,237241.0,4,electronic,0.396285,0.09744
362,,0.425,0.963,1,-1.554,1,0.117,0.00246,0.00111,0.0827,0.233,174.009,197241.0,4,electronic,0.409275,0.099025
367,,0.473,0.961,5,-1.332,0,0.0815,0.0298,0.00439,0.154,0.285,174.015,228707.0,4,electronic,0.454553,0.13480499999999998
374,,0.486,0.989,6,-1.08,0,0.0477,0.0131,0.137,0.122,0.679,173.94,226916.0,4,electronic,0.48065399999999997,0.329994
379,,0.406,0.996,0,-0.851,1,0.546,0.00558,0.0956,0.31,0.0656,174.146,270345.0,4,electronic,0.404376,0.026633600000000004
380,,0.486,0.956,11,-0.832,1,0.09,0.00754,0.0571,0.201,0.0351,87.582,202971.0,4,electronic,0.464616,0.0170586
