,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
31,spotify:track:5RfVafaeEEiqC0Z3LsBaZw,0.434,0.66,6,-5.605,1,0.0359,0.0122,6.12e-06,0.103,0.315,127.968,198867,4,Electronic
140,spotify:track:7H6TvLL3dyoY2XtrUKp3wK,0.456,0.85,0,-7.897,1,0.0853,0.00271,3.75e-05,0.231,0.132,132.866,190903,4,Electronic
216,spotify:track:0nrnNb3z8ecImknVvpEPcR,0.457,0.851,8,-3.919,1,0.056,0.00181,0.00849,0.138,0.238,122.916,105361,4,Electronic
220,spotify:track:0mRaXMf9wwtkcW62t7zPm7,0.429,0.822,8,-7.071,1,0.0455,0.00318,7.58e-06,0.559,0.29,148.3,117529,4,Electronic
227,spotify:track:1nJOtOQJqzHaxh8kzuudxR,0.499,0.839,4,-3.104,1,0.0749,4.83e-05,0.674,0.342,0.785,146.147,136110,4,Electronic
265,spotify:track:7ANKWDStVvxzYfxLrtmKYw,0.499,0.902,1,-3.846,0,0.0644,0.000149,0.00138,0.252,0.407,124.934,127440,4,Electronic
290,spotify:track:4ZoC2nZwtxNhxZEuv3Ru6J,0.436,0.623,4,-12.623,1,0.438,0.133,0.0,0.303,0.701,174.709,254720,5,Electronic
301,spotify:track:2NCq4BaeSVszbGBc6NGWQJ,0.477,0.655,9,-6.0,0,0.101,0.411,0.0203,0.108,0.0355,174.007,213686,4,Electronic
310,spotify:track:7bU2BGexbMUO1eUndIbNIX,0.435,0.911,6,-4.339,1,0.0378,0.00384,0.812,0.221,0.224,173.98,237241,4,Electronic
362,spotify:track:2yx33cf8wV4gCCVip2vKMo,0.425,0.963,1,-1.554,1,0.117,0.00246,0.00111,0.0827,0.233,174.009,197241,4,Electronic
367,spotify:track:2EK2hR0X1XYrPnfLCgCIXl,0.473,0.961,5,-1.332,0,0.0815,0.0298,0.00439,0.154,0.285,174.015,228707,4,Electronic
374,spotify:track:5KATLe2Fizt1tV0qdw3mwh,0.486,0.989,6,-1.08,0,0.0477,0.0131,0.137,0.122,0.679,173.94,226916,4,Electronic
379,spotify:track:3gMnzlM0E8z3RWFgRKGdhd,0.406,0.996,0,-0.851,1,0.546,0.00558,0.0956,0.31,0.0656,174.146,270345,4,Electronic
380,spotify:track:0rNuA5fTJDDvQ4oa421WM9,0.486,0.956,11,-0.832,1,0.09,0.00754,0.0571,0.201,0.0351,87.582,202971,4,Electronic
382,spotify:track:39dkTH7uL26INRkJYxmPmz,0.462,1.0,10,-0.024,1,0.0982,0.00351,0.804,0.295,0.274,174.004,223448,4,Electronic
388,spotify:track:48261IylfaueSdk1XKX0nh,0.446,0.948,1,-3.312,1,0.0635,0.000373,0.01,0.094,0.0874,174.978,252343,4,Electronic
389,spotify:track:1acpIlnD71Anfcy2RXZkm3,0.429,0.993,10,-2.33,1,0.4,0.000413,0.771,0.434,0.226,174.002,275862,4,Electronic
391,spotify:track:0laSPpzgD2rNatLXQwTyM2,0.497,0.927,10,-2.772,0,0.0502,0.00434,0.00148,0.113,0.563,173.98,237284,4,Electronic
394,spotify:track:0qY6AV4ZegboqiIskNlozZ,0.458,0.92,6,-0.973,0,0.135,0.0113,0.78,0.123,0.475,174.953,225245,4,Electronic
395,spotify:track:4wVQ4W2jrhPNnsmlcO1u5g,0.44,0.993,1,-1.019,1,0.165,0.00688,0.85,0.325,0.0519,175.051,367543,4,Electronic
397,spotify:track:70E2owQEeqORuzov0L3t6y,0.463,0.99,1,-0.885,1,0.204,0.00389,0.873,0.178,0.0774,173.986,223448,4,Electronic
