,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres,danceability_energy_ratio,danceability_valence_ratio
60,,0.479,0.549,11,-10.551,0,0.373,0.57,0.0235,0.127,0.576,180.985,252187.0,4,hiphop,0.262971,0.275904
138,,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,123891.0,4,hiphop,0.26487,0.018711
163,,0.477,0.727,2,-4.053,1,0.286,0.000866,0.0,0.108,0.227,150.062,236524.0,4,hiphop,0.34677899999999995,0.108279
179,,0.49,0.618,1,-5.655,1,0.104,0.0221,3.77e-06,0.259,0.286,99.7,201600.0,4,hiphop,0.30282,0.14014
180,,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,189323.0,4,hiphop,0.29909399999999997,0.20145
241,,0.489,0.692,1,-6.672,1,0.41,0.0322,0.00608,0.315,0.527,96.946,237707.0,4,hiphop,0.33838799999999997,0.257703
271,,0.474,0.576,1,-6.963,1,0.257,0.00248,0.000309,0.174,0.285,157.947,195197.0,4,hiphop,0.273024,0.13509
296,,0.487,0.729,2,-6.815,1,0.271,0.0538,4.07e-06,0.44,0.217,91.048,350120.0,4,hiphop,0.355023,0.105679
303,,0.464,0.687,9,-7.623,1,0.0858,0.00643,2.47e-06,0.32,0.458,91.064,218187.0,4,hiphop,0.31876800000000005,0.212512
382,,0.484,0.69,6,-6.339,1,0.316,0.00757,0.0,0.181,0.657,80.862,308973.0,3,hiphop,0.33396,0.317988
399,,0.444,0.708,4,-5.926,0,0.126,0.0419,0.0,0.0775,0.26,105.412,255413.0,5,hiphop,0.31435199999999996,0.11544
455,,0.481,0.797,6,-4.094,0,0.201,0.404,0.0,0.368,0.495,96.237,206050.0,3,hiphop,0.383357,0.238095
514,,0.457,0.834,5,-4.674,0,0.0817,0.00252,0.00125,0.1,0.201,140.032,204677.0,4,hiphop,0.381138,0.09185700000000001
555,,0.485,0.476,4,-13.149,0,0.487,0.00618,0.0,0.59,0.835,85.989,190319.0,4,hiphop,0.23085999999999998,0.404975
556,,0.462,0.718,5,-3.892,0,0.301,0.154,6.74e-06,0.376,0.517,90.036,231780.0,3,hiphop,0.331716,0.238854
626,,0.457,0.906,5,-2.278,0,0.342,0.249,0.0,0.182,0.54,104.02,357707.0,5,hiphop,0.414042,0.24678000000000003
700,,0.405,0.721,1,-6.97,1,0.284,0.329,0.0,0.252,0.816,92.855,280680.0,4,hiphop,0.292005,0.33048
703,,0.403,0.742,11,-5.889,0,0.338,0.0498,0.0,0.418,0.717,90.336,274480.0,4,hiphop,0.299026,0.288951
706,,0.433,0.711,6,-5.043,0,0.255,0.229,0.0,0.159,0.434,88.876,152627.0,4,hiphop,0.307863,0.187922
725,,0.484,0.852,11,-4.442,0,0.274,0.0317,0.0,0.0547,0.766,103.578,249522.0,4,hiphop,0.41236799999999996,0.370744
752,,0.424,0.866,7,-6.171,1,0.2,0.000859,0.000139,0.0869,0.426,190.276,234243.0,4,hiphop,0.367184,0.18062399999999998
759,,0.489,0.829,1,-7.017,1,0.469,0.277,0.0,0.295,0.53,83.431,241827.0,4,hiphop,0.405381,0.25917
777,,0.495,0.722,6,-8.108,0,0.357,0.0697,0.0,0.113,0.539,175.627,239267.0,4,hiphop,0.35739,0.266805
812,,0.487,0.74,6,-4.973,1,0.0944,0.157,0.0,0.612,0.522,73.779,181688.0,4,hiphop,0.36038,0.254214
820,,0.478,0.951,2,-2.347,1,0.19,0.0133,2.21e-06,0.0533,0.338,179.978,265907.0,3,hiphop,0.454578,0.161564
858,,0.493,0.583,5,-10.628,1,0.619,0.148,0.0,0.138,0.369,75.559,392187.0,4,hiphop,0.287419,0.181917
893,,0.463,0.878,1,-5.194,1,0.409,0.00524,0.0,0.273,0.663,80.145,185151.0,4,hiphop,0.40651400000000004,0.30696900000000005
901,,0.42,0.948,8,-3.4,0,0.41,0.409,0.0,0.072,0.579,187.005,256320.0,4,hiphop,0.39815999999999996,0.24317999999999998
973,,0.42,0.701,1,-7.582,0,0.339,0.832,0.0,0.103,0.671,79.716,349040.0,4,hiphop,0.29441999999999996,0.28182
978,,0.445,0.891,11,-10.141,1,0.885,0.157,0.0,0.0859,0.337,178.302,240400.0,4,hiphop,0.396495,0.14996500000000001
983,,0.495,0.715,6,-8.855,1,0.497,0.135,1.04e-06,0.0748,0.742,189.876,275640.0,4,hiphop,0.353925,0.36729
996,,0.404,0.883,1,-3.284,1,0.295,0.0681,0.00051,0.46,0.692,82.18,163236.0,4,hiphop,0.35673200000000005,0.279568
1088,,0.496,0.521,10,-9.747,0,0.332,0.539,0.0,0.183,0.387,83.735,220003.0,4,hiphop,0.25841600000000003,0.191952
1125,,0.483,0.709,1,-8.17,0,0.401,0.0575,0.0,0.122,0.491,84.813,202667.0,4,hiphop,0.34244699999999995,0.23715299999999997
1140,,0.469,0.658,10,-6.632,0,0.177,0.242,0.0,0.11,0.632,140.96,190023.0,4,hiphop,0.308602,0.296408
1145,,0.434,0.893,10,-8.442,0,0.187,0.00723,0.0317,0.11,0.499,123.67,403667.0,4,hiphop,0.387562,0.216566
1167,,0.43,0.94,8,-9.276,0,0.149,0.0449,0.0599,0.114,0.429,77.604,274853.0,4,hiphop,0.40419999999999995,0.18447
