,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
60,spotify:track:119c93MHjrDLJTApCVGpvx,0.479,0.549,11,-10.551,0,0.373,0.57,0.0235,0.127,0.576,180.985,252187,4,HipHop
138,spotify:track:4FyesJzVpA39hbYvcseO2d,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,123891,4,HipHop
163,spotify:track:1EJIcDYXwSqipW5dFe4uJz,0.477,0.727,2,-4.053,1,0.286,0.000866,0.0,0.108,0.227,150.062,236524,4,HipHop
179,spotify:track:1H7KnK26kc1YyellpbINEn,0.49,0.618,1,-5.655,1,0.104,0.0221,3.77e-06,0.259,0.286,99.7,201600,4,HipHop
180,spotify:track:6Gg1gjgKi2AK4e0qzsR7sd,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,189323,4,HipHop
241,spotify:track:4nva9EpKntUTs6CRSGBCn9,0.489,0.692,1,-6.672,1,0.41,0.0322,0.00608,0.315,0.527,96.946,237707,4,HipHop
271,spotify:track:0VOMBffX1llDu37yQUt3u3,0.474,0.576,1,-6.963,1,0.257,0.00248,0.000309,0.174,0.285,157.947,195197,4,HipHop
296,spotify:track:2cDCojn6uIBM6A5xTAbl3H,0.487,0.729,2,-6.815,1,0.271,0.0538,4.07e-06,0.44,0.217,91.048,350120,4,HipHop
303,spotify:track:1z9EbieFSoVLz7A3Q2DCiu,0.464,0.687,9,-7.623,1,0.0858,0.00643,2.47e-06,0.32,0.458,91.064,218187,4,HipHop
382,spotify:track:2ohf5urBpT8bieYr8kq3kt,0.484,0.69,6,-6.339,1,0.316,0.00757,0.0,0.181,0.657,80.862,308973,3,HipHop
399,spotify:track:0mYoKqA23wUUj7BTEgNzjg,0.444,0.708,4,-5.926,0,0.126,0.0419,0.0,0.0775,0.26,105.412,255413,5,HipHop
455,spotify:track:410ZZP746AQeiywhKvXWCo,0.481,0.797,6,-4.094,0,0.201,0.404,0.0,0.368,0.495,96.237,206050,3,HipHop
514,spotify:track:1H4Y9uW4N0LsxJUz0VnaPJ,0.457,0.834,5,-4.674,0,0.0817,0.00252,0.00125,0.1,0.201,140.032,204677,4,HipHop
555,spotify:track:7KkNO3y61CXpN1g7qBkg8N,0.485,0.476,4,-13.149,0,0.487,0.00618,0.0,0.59,0.835,85.989,190319,4,HipHop
556,spotify:track:5x4YAw8bHOuKdn5mSuYQg1,0.462,0.718,5,-3.892,0,0.301,0.154,6.74e-06,0.376,0.517,90.036,231780,3,HipHop
626,spotify:track:5UsLjwBaTHBX4ektWIr4XX,0.457,0.906,5,-2.278,0,0.342,0.249,0.0,0.182,0.54,104.02,357707,5,HipHop
700,spotify:track:3liD1gxb1LAy2ccADcY70o,0.405,0.721,1,-6.97,1,0.284,0.329,0.0,0.252,0.816,92.855,280680,4,HipHop
703,spotify:track:0W5M10Od3wY9GnS3MVa8x7,0.403,0.742,11,-5.889,0,0.338,0.0498,0.0,0.418,0.717,90.336,274480,4,HipHop
706,spotify:track:2L0jlGwPjmKwJYAH6rbfMw,0.433,0.711,6,-5.043,0,0.255,0.229,0.0,0.159,0.434,88.876,152627,4,HipHop
725,spotify:track:5YpZh8wfS4moRBk0ijNcXr,0.484,0.852,11,-4.442,0,0.274,0.0317,0.0,0.0547,0.766,103.578,249522,4,HipHop
752,spotify:track:0D5ER6UGojHVHVVJV0QdY8,0.424,0.866,7,-6.171,1,0.2,0.000859,0.000139,0.0869,0.426,190.276,234243,4,HipHop
759,spotify:track:0LH4xaHG3wa42I1l2RyPs4,0.489,0.829,1,-7.017,1,0.469,0.277,0.0,0.295,0.53,83.431,241827,4,HipHop
