,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
0,,0.367,0.665,1,-2.821,1,0.0465,0.145,0,0.113,0.31,148.913,229147,4,hiphop
1,,0.606,0.784,7,-6.293,1,0.268,0.435,0,0.689,0.48,80.985,278573,4,hiphop
2,,0.912,0.596,6,-9.959,1,0.451,0.482,0.000369,0.107,0.816,90.463,282907,4,hiphop
3,,0.78,0.575,9,-7.247,0,0.273,0.43,0,0.143,0.773,84.492,252747,4,hiphop
4,,0.9,0.619,4,-6.518,0,0.312,0.203,0.00156,0.0647,0.864,94.121,236800,4,hiphop
5,,0.576,0.807,6,-3.908,0,0.317,0.353,0.000363,0.0512,0.908,90.012,224427,4,hiphop
6,,0.801,0.91,2,-6.566,1,0.225,0.00239,0.000891,0.0737,0.805,87.277,278387,4,hiphop
7,,0.88,0.577,10,-8.093,0,0.302,0.0564,1.02E-06,0.201,0.74,90.991,214440,4,hiphop
8,,0.845,0.921,7,-4.711,1,0.188,0.00766,9.77E-06,0.0419,0.363,95.838,300360,4,hiphop
9,,0.591,0.855,11,-8.339,0,0.339,0.00832,5.87E-05,0.771,0.78,136.734,158467,4,hiphop
10,,0.902,0.72,6,-2.776,0,0.347,0.26,0,0.0749,0.805,90.059,193467,4,hiphop
11,,0.689,0.703,10,-5.986,0,0.206,0.00975,0,0.154,0.139,101.492,216907,4,hiphop
12,,0.669,0.821,11,-4.37,0,0.29,0.00182,0,0.147,0.684,94.895,237573,4,hiphop
13,,0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,260000,4,hiphop
14,,0.734,0.735,7,-6.201,1,0.065,0.000813,3.25E-05,0.559,0.729,96.806,246200,4,hiphop
15,,0.736,0.828,11,-5.835,0,0.284,0.477,0,0.251,0.899,91.224,274938,4,hiphop
16,,0.69,0.729,11,-5.819,0,0.221,1.70E-05,0.0431,0.152,0.357,91.376,202107,4,hiphop
17,,0.763,0.85,7,-3.052,1,0.0417,0.0304,1.21E-06,0.371,0.761,91.519,284907,4,hiphop
18,,0.679,0.468,4,-11.768,0,0.386,0.0149,1.46E-06,0.203,0.503,94.126,250840,4,hiphop
19,,0.856,0.722,5,-6.124,0,0.076,0.133,0.000485,0.168,0.719,100.192,246400,4,hiphop
20,,0.846,0.416,10,-13.767,0,0.118,0.156,9.34E-06,0.238,0.645,96.188,259000,4,hiphop
21,,0.867,0.679,10,-12.028,0,0.207,0.0336,1.59E-06,0.0742,0.68,101.293,243200,4,hiphop
22,,0.691,0.737,0,-4.855,1,0.421,0.365,0,0.505,0.818,91.884,324056,4,hiphop
23,,0.862,0.642,6,-13.652,0,0.101,0.102,0,0.272,0.765,99.2,267267,4,hiphop
24,,0.632,0.924,1,-1.802,1,0.29,0.281,0,0.263,0.441,86.844,267520,4,hiphop
25,,0.7,0.758,10,-3.012,0,0.342,0.0444,1.30E-05,0.0401,0.889,78.693,249467,4,hiphop
26,,0.603,0.762,4,-7.744,0,0.285,0.0953,1.53E-05,0.478,0.379,94.726,211867,4,hiphop
27,,0.901,0.697,9,-3.439,1,0.28,0.145,0,0.287,0.67,93.941,229827,4,hiphop
28,,0.837,0.736,10,-8.367,0,0.378,0.225,0,0.0549,0.905,104.907,234093,4,hiphop
29,,0.849,0.61,8,-10.822,1,0.154,0.0204,4.76E-06,0.0454,0.566,99.01,223693,4,hiphop
30,,0.587,0.858,6,-3.516,1,0.225,0.0419,0,0.322,0.527,93.855,291053,4,hiphop
31,,0.759,0.756,4,-8.145,0,0.266,0.0903,2.36E-06,0.265,0.613,87.059,303493,4,hiphop
32,,0.59,0.672,1,-11.792,1,0.412,0.125,1.04E-06,0.147,0.688,206.247,286440,4,hiphop
33,,0.787,0.832,10,-4.671,1,0.301,0.0347,0,0.0593,0.814,92.606,177667,4,hiphop
34,,0.646,0.792,1,-5.949,1,0.426,0.139,5.21E-06,0.957,0.807,92.264,330408,4,hiphop
35,,0.729,0.929,1,-3.297,1,0.238,0.0759,0.000846,0.303,0.884,92.675,260333,4,hiphop
36,,0.789,0.858,1,-5.542,1,0.311,0.127,0,0.349,0.775,140.022,219333,4,hiphop
37,,0.915,0.79,6,-3.186,0,0.207,0.16,0,0.112,0.967,140.095,275907,4,hiphop
38,,0.647,0.514,8,-10.05,1,0.0593,0.0655,0,0.398,0.386,79.975,240693,4,hiphop
39,,0.843,0.7,9,-3.249,0,0.26,0.127,0,0.876,0.675,95.05,293053,4,hiphop
40,,0.669,0.809,7,-7.146,1,0.147,0.00137,0,0.38,0.572,97.885,249293,4,hiphop
41,,0.669,0.829,1,-3.801,1,0.49,0.179,0,0.241,0.61,118.934,253067,4,hiphop
42,,0.758,0.768,6,-5.603,1,0.174,0.0237,0,0.141,0.824,83.033,204707,4,hiphop
43,,0.736,0.705,7,-6.231,1,0.24,0.0579,0,0.321,0.557,86.404,238840,4,hiphop
44,,0.918,0.734,11,-2.832,0,0.269,0.0296,8.01E-06,0.191,0.608,97.044,230693,4,hiphop
45,,0.646,0.6,9,-6.569,1,0.458,0.231,0,0.0794,0.811,192.082,223973,4,hiphop
46,,0.888,0.632,1,-3.872,1,0.219,0.19,0,0.101,0.662,91.979,266067,4,hiphop
47,,0.725,0.64,5,-7.905,0,0.332,0.0281,0,0.099,0.915,166.028,240027,3,hiphop
48,,0.782,0.589,1,-4.827,1,0.189,0.148,0,0.164,0.869,90.438,223547,4,hiphop
49,,0.908,0.557,8,-4.243,0,0.107,0.242,0,0.0709,0.897,90.032,230133,4,hiphop
50,,0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,270587,4,hiphop
51,,0.867,0.646,1,-4.674,0,0.288,0.303,0,0.279,0.67,88.634,304600,4,hiphop
52,,0.765,0.29,4,-17.117,0,0.139,0.0279,0,0.571,0.506,92.409,298773,4,hiphop
53,,0.763,0.786,10,-6.472,0,0.229,0.0146,0.0114,0.0817,0.504,93.857,325507,4,hiphop
54,,0.869,0.68,1,-6.233,1,0.318,0.0416,1.12E-06,0.0914,0.815,85.519,268400,4,hiphop
55,,0.922,0.909,10,-2.429,0,0.27,0.0281,0,0.0856,0.309,95.295,161507,4,hiphop
56,,0.747,0.52,10,-10.523,0,0.0357,0.0977,0.0537,0.142,0.601,92.869,232773,4,hiphop
57,,0.872,0.723,1,-5.968,1,0.247,0.0293,0,0.327,0.843,93.279,307773,4,hiphop
58,,0.889,0.818,9,-4.639,1,0.253,0.47,0,0.179,0.782,96.063,302760,4,hiphop
59,,0.535,0.505,2,-8.926,0,0.245,0.0393,0,0.0923,0.495,99.935,320267,4,hiphop
60,,0.479,0.549,11,-10.551,0,0.373,0.57,0.0235,0.127,0.576,180.985,252187,4,hiphop
61,,0.849,0.521,11,-12.999,0,0.216,0.304,1.65E-06,0.115,0.763,95.265,248867,4,hiphop
62,,0.6,0.706,10,-7.899,0,0.361,0.209,0,0.125,0.58,173.926,253533,4,hiphop
63,,0.924,0.74,8,-1.299,1,0.0774,0.0827,0,0.163,0.621,133.974,222293,4,hiphop
64,,0.874,0.63,1,-3.585,1,0.298,0.0578,0.00479,0.0582,0.717,95,281600,4,hiphop
65,,0.845,0.884,6,-4.506,0,0.0759,0.0128,2.10E-06,0.203,0.904,104.536,257400,4,hiphop
66,,0.897,0.611,11,-10.489,1,0.211,0.0291,0.186,0.0894,0.769,102.304,208267,4,hiphop
67,,0.811,0.823,4,-5.921,0,0.0423,0.0553,4.52E-06,0.158,0.827,106.929,218547,4,hiphop
68,,0.607,0.422,10,-13.364,0,0.499,0.209,0,0.0839,0.563,130.47,226987,3,hiphop
69,,0.877,0.534,1,-6.178,1,0.15,0.0339,1.67E-05,0.0441,0.89,108.17,197560,4,hiphop
70,,0.665,0.91,6,-4.682,0,0.223,0.0394,0,0.227,0.887,84.099,293973,4,hiphop
71,,0.773,0.54,6,-7.123,1,0.103,0.371,0,0.131,0.322,84.115,280000,4,hiphop
72,,0.724,0.853,11,-3.895,0,0.283,0.0164,0,0.65,0.775,170.51,332733,4,hiphop
73,,0.598,0.732,4,-7.013,1,0.425,0.144,0,0.508,0.595,172.329,262507,4,hiphop
74,,0.813,0.703,11,-5.077,0,0.268,0.125,1.26E-06,0.237,0.241,94.828,224533,4,hiphop
75,,0.879,0.564,10,-7.682,0,0.247,0.0474,9.43E-06,0.0519,0.523,93.908,282373,4,hiphop
76,,0.934,0.735,1,-6.668,1,0.251,0.031,8.60E-06,0.107,0.768,101.368,273107,4,hiphop
77,,0.939,0.675,0,-7.232,1,0.211,0.0915,0,0.0565,0.795,96.918,248573,4,hiphop
78,,0.848,0.666,0,-6.547,1,0.274,0.173,0.000699,0.129,0.744,96.662,251573,4,hiphop
79,,0.88,0.814,11,-6.307,0,0.14,0.168,0.00672,0.0584,0.942,138.083,283067,4,hiphop
80,,0.734,0.864,2,-6.119,1,0.303,0.022,9.85E-06,0.246,0.47,105.932,231493,4,hiphop
81,,0.696,0.636,10,-6.915,0,0.335,0.158,1.28E-05,0.338,0.358,81.593,309800,4,hiphop
