Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:0eaVIYo2zeOaGJeqZ5TwYz,0.328,0.631,5,-5.169,0,0.0465,0.0714,0.0,0.567,0.382,85.262,187613,4
spotify:track:6w9GrSUaQQIaMBYtabge7p,0.861,0.496,4,-5.537,0,0.0357,0.382,2.57e-06,0.107,0.543,116.008,192693,4
spotify:track:1g4DPOlfsDTIzq9fTU2SFE,0.741,0.563,10,-6.721,0,0.049,0.488,0.0,0.191,0.448,125.026,123000,4
spotify:track:5ugcpEprRXs0HnZ1iMFXed,0.78,0.622,7,-3.349,0,0.0725,0.237,4.97e-06,0.288,0.487,144.026,194453,4
spotify:track:0J8oWLQ8wp3xparv98OJsa,0.642,0.473,4,-6.315,0,0.0893,0.42,1.4e-06,0.548,0.263,119.919,114000,4
spotify:track:0AVgSiAUfEnhSma5WN6I1f,0.732,0.589,5,-6.234,0,0.0425,0.265,4.03e-05,0.103,0.396,131.973,192720,4
spotify:track:2avmc6AW7RbsYOC77jJhmi,0.499,0.734,2,-4.782,1,0.0994,0.219,0.0,0.207,0.322,104.97,222387,4
spotify:track:5JhgHKSGGxsAaDJAiLP8OW,0.65,0.714,5,-5.517,0,0.13,0.151,0.0,0.479,0.769,119.223,160013,5
spotify:track:2c44NyHXDy1lIfuoSOufVi,0.611,0.593,6,-5.484,0,0.0569,0.244,0.0,0.323,0.411,143.446,210853,4
spotify:track:0kAUw5oISoFhmEpDlX5Abg,0.63,0.564,0,-6.174,1,0.0373,0.21,8.35e-06,0.114,0.214,141.909,233227,4
spotify:track:1EDJSktmcGoYEZxXAJXVTt,0.491,0.851,11,-4.434,1,0.0784,0.0882,0.361,0.0873,0.475,167.783,241440,4
spotify:track:0KRMp8ZfDguS9wiZiOiuAk,0.787,0.643,2,-6.73,1,0.0444,0.427,0.00139,0.105,0.304,147.936,184853,4
spotify:track:2Ryzn1QqRKIKbAMNEXbLSB,0.858,0.641,1,-4.31,0,0.0954,0.111,2.12e-05,0.109,0.445,136.991,238253,4
spotify:track:5cz1jba7M09O8WNPXCYddx,0.5,0.738,1,-4.477,0,0.417,0.41,3.97e-06,0.223,0.433,185.577,168627,4
spotify:track:5bXnD0NJZ1AV0SlrDOUWeh,0.77,0.541,5,-5.719,1,0.08,0.336,0.0,0.141,0.407,139.972,174480,4
spotify:track:7gEUdaVffLsb2qgdj90cBk,0.461,0.496,1,-5.996,0,0.0346,0.0644,0.000379,0.327,0.317,167.943,208373,4
spotify:track:7oF6fJDOdiflG6GbYSMeV7,0.64,0.6,1,-4.249,0,0.0342,0.18,4.07e-06,0.532,0.361,129.912,180933,4
spotify:track:5X3dOilXRTEVqyRbZhM49U,0.603,0.684,7,-6.023,0,0.0887,0.378,0.00138,0.16,0.38,152.03,236840,4
spotify:track:4tiWlKXUB47UpAXqpfoJn4,0.498,0.511,5,-5.179,0,0.0653,0.325,0.0,0.163,0.46,135.029,226707,1
spotify:track:3S9i1ICfQjMmJYWbtnmN0f,0.603,0.553,2,-6.26,0,0.0549,0.545,1.55e-05,0.196,0.277,84.054,176187,4
