,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres,danceability_energy_ratio,danceability_valence_ratio
3,,0.481,0.451,5,-6.095,0,0.0347,0.336,0.0,0.0872,0.289,157.966,295493.0,4,pop,0.21693099999999998,0.139009
53,,0.418,0.42,0,-6.444,1,0.0414,0.588,6.39e-05,0.11,0.184,84.094,172724.0,4,pop,0.17556,0.076912
60,,0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245,186813.0,4,pop,0.35123200000000004,0.105728
75,,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,269560.0,4,pop,0.11140800000000001,0.139682
97,,0.475,0.606,8,-6.646,1,0.0346,0.247,0.0,0.125,0.282,94.994,252534.0,4,pop,0.28785,0.13394999999999999
138,,0.447,0.694,7,-4.637,0,0.382,0.0293,5.46e-06,0.167,0.509,175.868,227853.0,4,pop,0.310218,0.227523
148,,0.463,0.317,6,-8.944,0,0.0272,0.906,4.08e-05,0.107,0.193,127.995,195814.0,4,pop,0.146771,0.08935900000000001
155,,0.421,0.799,6,-5.183,0,0.0562,0.00871,1.63e-05,0.0794,0.731,82.408,221720.0,4,pop,0.336379,0.307751
157,,0.452,0.574,6,-8.336,1,0.31,0.246,0.0,0.189,0.58,92.791,207187.0,4,pop,0.259448,0.26216
166,,0.489,0.692,1,-6.672,1,0.41,0.0322,0.00608,0.315,0.527,96.946,237707.0,4,pop,0.33838799999999997,0.257703
172,,0.469,0.689,9,-7.017,0,0.0475,0.00607,0.00119,0.114,0.531,126.505,221867.0,3,pop,0.32314099999999996,0.249039
174,,0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0.0,0.358,0.484,149.937,204000.0,4,pop,0.4383,0.235708
186,,0.466,0.759,8,-4.978,0,0.199,0.0521,0.0,0.0587,0.328,160.033,264373.0,4,pop,0.353694,0.152848
202,,0.434,0.565,0,-5.442,1,0.0296,0.349,0.0,0.219,0.0994,135.452,191208.0,4,pop,0.24520999999999998,0.0431396
203,,0.435,0.524,1,-7.834,1,0.0434,0.247,0.000318,0.057,0.294,184.011,229565.0,4,pop,0.22794,0.12789
209,,0.498,0.897,2,-4.907,1,0.045,0.00136,0.0,0.118,0.373,169.902,184013.0,4,pop,0.446706,0.185754
219,,0.49,0.352,6,-11.577,0,0.0254,0.709,0.0856,0.114,0.166,99.992,209156.0,4,pop,0.17248,0.08134000000000001
254,,0.444,0.819,10,-4.078,0,0.341,0.106,0.0,0.107,0.747,82.695,187973.0,4,pop,0.36363599999999996,0.331668
272,,0.421,0.791,9,-4.998,1,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,257200.0,4,pop,0.333011,0.210079
294,,0.426,0.584,1,-5.293,1,0.296,0.0383,0.0,0.188,0.272,193.437,193213.0,4,pop,0.24878399999999998,0.115872
308,,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373.0,4,pop,0.29986199999999996,0.20266199999999998
343,,0.431,0.59,4,-6.362,1,0.0284,0.163,1.11e-05,0.0981,0.257,150.193,265333.0,4,pop,0.25428999999999996,0.110767
384,,0.434,0.872,0,-2.974,1,0.0702,0.0473,1.83e-06,0.396,0.732,71.515,213760.0,4,pop,0.378448,0.31768799999999997
403,,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,233456.0,3,pop,0.13948,0.11792000000000001
437,,0.493,0.855,11,-4.029,1,0.0967,0.00673,0.0,0.38,0.754,179.039,153038.0,4,pop,0.421515,0.371722
447,,0.483,0.84,7,-6.508,1,0.119,0.43,0.000575,0.146,0.55,157.979,260362.0,4,pop,0.40571999999999997,0.26565
461,,0.437,0.565,10,-5.596,1,0.0466,0.697,0.0,0.119,0.306,115.389,376169.0,4,pop,0.24690499999999999,0.133722
494,,0.496,0.593,4,-5.154,1,0.0285,0.0476,0.0,0.0909,0.177,91.038,185933.0,4,pop,0.294128,0.087792
506,,0.416,0.762,2,-7.385,1,0.0279,0.312,0.804,0.0559,0.461,95.967,326491.0,4,pop,0.316992,0.191776
562,,0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0.0,0.358,0.484,149.937,204000.0,4,pop,0.4383,0.235708
569,,0.459,0.891,10,-5.057,0,0.0623,0.00511,0.0,0.106,0.588,154.837,203507.0,4,pop,0.408969,0.269892
572,,0.435,0.887,9,-4.07,1,0.0636,0.000747,0.0,0.0327,0.408,199.935,212040.0,4,pop,0.385845,0.17748
576,,0.467,0.957,10,-4.846,1,0.0454,0.000241,5.62e-06,0.595,0.445,143.832,194333.0,4,pop,0.446919,0.20781500000000003
579,,0.491,0.966,4,-4.28,1,0.0538,5.59e-05,0.0,0.307,0.614,105.544,202573.0,4,pop,0.47430599999999995,0.30147399999999996
581,,0.494,0.939,1,-3.127,1,0.126,0.00666,0.0,0.139,0.893,177.751,175093.0,4,pop,0.46386599999999995,0.441142
585,,0.423,0.94,1,-4.012,0,0.0635,0.00166,0.0,0.178,0.505,149.934,206520.0,4,pop,0.39762,0.213615
586,,0.449,0.47,9,-10.584,1,0.0284,0.00321,0.0,0.298,0.541,84.407,273673.0,4,pop,0.21103,0.242909
587,,0.465,0.896,2,-3.126,1,0.0795,0.00725,0.0,0.206,0.569,181.014,182827.0,4,pop,0.41664,0.264585
588,,0.477,0.907,1,-4.814,0,0.0899,8e-05,7.82e-05,0.149,0.304,81.291,257400.0,4,pop,0.432639,0.145008
590,,0.486,0.904,6,-3.751,0,0.0638,3.43e-05,2.83e-05,0.0947,0.786,173.734,198267.0,4,pop,0.439344,0.381996
594,,0.411,0.962,4,-5.952,1,0.0917,0.103,0.0,0.529,0.622,173.143,172646.0,4,pop,0.39538199999999996,0.255642
601,,0.429,0.848,6,-5.269,0,0.104,0.0223,0.0,0.348,0.463,172.19,163409.0,4,pop,0.363792,0.198627
612,,0.41,0.959,9,-4.563,1,0.0869,0.000324,0.0,0.0766,0.83,193.155,171600.0,4,pop,0.39319,0.34029999999999994
613,,0.467,0.958,8,-5.581,1,0.223,7.19e-05,0.18,0.347,0.164,144.915,277818.0,4,pop,0.447386,0.076588
615,,0.402,0.914,9,-5.215,1,0.142,0.000579,0.0,0.065,0.626,196.505,178267.0,4,pop,0.36742800000000003,0.25165200000000004
617,,0.494,0.842,7,-4.784,1,0.0843,0.00579,0.0,0.122,0.574,162.011,229093.0,4,pop,0.415948,0.283556
625,,0.48,0.869,6,-3.601,1,0.0374,0.0363,0.00111,0.0913,0.583,89.998,194608.0,4,pop,0.41712,0.27984
626,,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,167067.0,4,pop,0.38929800000000003,0.296856
630,,0.449,0.864,1,-3.892,1,0.0352,2.04e-05,0.0,0.108,0.713,167.154,226080.0,4,pop,0.387936,0.320137
632,,0.497,0.923,2,-4.512,1,0.138,0.00282,0.0,0.158,0.663,181.074,198000.0,4,pop,0.458731,0.329511
634,,0.439,0.945,1,-2.21,1,0.138,0.00677,0.0,0.166,0.455,161.954,195680.0,4,pop,0.414855,0.199745
636,,0.494,0.946,4,-2.757,1,0.0637,0.00129,0.0,0.398,0.741,103.408,169027.0,4,pop,0.46732399999999996,0.366054
639,,0.426,0.972,0,-5.122,1,0.0954,0.0017,0.0,0.171,0.341,111.221,165373.0,4,pop,0.414072,0.145266
640,,0.416,0.967,9,-2.289,0,0.109,0.000367,0.0,0.0632,0.431,171.032,192787.0,4,pop,0.40227199999999996,0.17929599999999998
642,,0.477,0.917,6,-4.692,1,0.0547,0.00295,0.0,0.268,0.71,150.974,141293.0,4,pop,0.437409,0.33866999999999997
644,,0.487,0.898,5,-4.436,1,0.038,0.00305,0.0,0.26,0.597,135.331,220027.0,4,pop,0.437326,0.29073899999999997
646,,0.481,0.94,7,-5.204,1,0.066,0.000891,0.0,0.0939,0.66,96.493,189333.0,4,pop,0.45213999999999993,0.31746
654,,0.416,0.748,11,-4.83,1,0.0487,7.43e-05,0.0,0.0995,0.792,150.094,230560.0,4,pop,0.311168,0.329472
655,,0.473,0.777,11,-5.225,1,0.0279,0.00131,3.67e-05,0.152,0.564,81.999,267996.0,4,pop,0.367521,0.26677199999999995
656,,0.467,0.883,2,-3.679,0,0.106,0.000321,0.000152,0.125,0.309,122.252,299227.0,4,pop,0.41236100000000003,0.14430300000000001
691,,0.426,0.584,1,-5.293,1,0.296,0.0383,0.0,0.188,0.272,193.437,193213.0,4,pop,0.24878399999999998,0.115872
694,,0.452,0.574,6,-8.336,1,0.31,0.246,0.0,0.189,0.58,92.791,207187.0,4,pop,0.259448,0.26216
