,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
3,spotify:track:4sPmO7WMQUAf45kwMOtONw,0.481,0.451,5,-6.095,0,0.0347,0.336,0.0,0.0872,0.289,157.966,295493,4,Pop
53,spotify:track:5Nm9ERjJZ5oyfXZTECKmRt,0.418,0.42,0,-6.444,1,0.0414,0.588,6.39e-05,0.11,0.184,84.094,172724,4,Pop
60,spotify:track:4G8gkOterJn0Ywt6uhqbhp,0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245,186813,4,Pop
75,spotify:track:3U4isOIWM3VvDubwSI3y7a,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,269560,4,Pop
97,spotify:track:2l8w0zZVn4AZNuzrht7MRT,0.475,0.606,8,-6.646,1,0.0346,0.247,0.0,0.125,0.282,94.994,252534,4,Pop
138,spotify:track:6RX5iL93VZ5fKmyvNXvF1r,0.447,0.694,7,-4.637,0,0.382,0.0293,5.46e-06,0.167,0.509,175.868,227853,4,Pop
148,spotify:track:3NiHRFN1Wvx9c2IYRPD1Zf,0.463,0.317,6,-8.944,0,0.0272,0.906,4.08e-05,0.107,0.193,127.995,195814,4,Pop
155,spotify:track:4T4NLIMypdmyUwK54jECk4,0.421,0.799,6,-5.183,0,0.0562,0.00871,1.63e-05,0.0794,0.731,82.408,221720,4,Pop
157,spotify:track:6brl7bwOHmGFkNw3MBqssT,0.452,0.574,6,-8.336,1,0.31,0.246,0.0,0.189,0.58,92.791,207187,4,Pop
166,spotify:track:4nva9EpKntUTs6CRSGBCn9,0.489,0.692,1,-6.672,1,0.41,0.0322,0.00608,0.315,0.527,96.946,237707,4,Pop
172,spotify:track:73qbBlEAcm2HfnAaSnP1II,0.469,0.689,9,-7.017,0,0.0475,0.00607,0.00119,0.114,0.531,126.505,221867,3,Pop
174,spotify:track:00Mb3DuaIH1kjrwOku9CGU,0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0.0,0.358,0.484,149.937,204000,4,Pop
186,spotify:track:1jUA4rb6ZCv4gby4YU53xq,0.466,0.759,8,-4.978,0,0.199,0.0521,0.0,0.0587,0.328,160.033,264373,4,Pop
202,spotify:track:2PrxwMxTSEk4oHbdY8majs,0.434,0.565,0,-5.442,1,0.0296,0.349,0.0,0.219,0.0994,135.452,191208,4,Pop
203,spotify:track:1sKtD5KMZgTFHbsxjgqfZh,0.435,0.524,1,-7.834,1,0.0434,0.247,0.000318,0.057,0.294,184.011,229565,4,Pop
209,spotify:track:5w40ZYhbBMAlHYNDaVJIUu,0.498,0.897,2,-4.907,1,0.045,0.00136,0.0,0.118,0.373,169.902,184013,4,Pop
219,spotify:track:6GGtHZgBycCgGBUhZo81xe,0.49,0.352,6,-11.577,0,0.0254,0.709,0.0856,0.114,0.166,99.992,209156,4,Pop
254,spotify:track:3QGsuHI8jO1Rx4JWLUh9jd,0.444,0.819,10,-4.078,0,0.341,0.106,0.0,0.107,0.747,82.695,187973,4,Pop
272,spotify:track:6kwAbEjseqBob48jCus7Sz,0.421,0.791,9,-4.998,1,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,257200,4,Pop
294,spotify:track:5R9a4t5t5O0IsznsrKPVro,0.426,0.584,1,-5.293,1,0.296,0.0383,0.0,0.188,0.272,193.437,193213,4,Pop
308,spotify:track:1mea3bSkSGXuIRvnydlB5b,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373,4,Pop
343,spotify:track:7CKbqqrs0AS1si1ZgaQdcj,0.431,0.59,4,-6.362,1,0.0284,0.163,1.11e-05,0.0981,0.257,150.193,265333,4,Pop
384,spotify:track:4osg3vT6sXv6wNxm9Z6ucQ,0.434,0.872,0,-2.974,1,0.0702,0.0473,1.83e-06,0.396,0.732,71.515,213760,4,Pop
403,spotify:track:6xGruZOHLs39ZbVccQTuPZ,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,233456,3,Pop
437,spotify:track:52Rfxu5AUNMV1qhhC2ZCkb,0.493,0.855,11,-4.029,1,0.0967,0.00673,0.0,0.38,0.754,179.039,153038,4,Pop
447,spotify:track:0aV5uARAknQgYhBaK944FP,0.483,0.84,7,-6.508,1,0.119,0.43,0.000575,0.146,0.55,157.979,260362,4,Pop
461,spotify:track:6v0UJD4a2FtleHeSYVX02A,0.437,0.565,10,-5.596,1,0.0466,0.697,0.0,0.119,0.306,115.389,376169,4,Pop
494,spotify:track:3AAY8YicetRPlDAkibHLiS,0.496,0.593,4,-5.154,1,0.0285,0.0476,0.0,0.0909,0.177,91.038,185933,4,Pop
506,spotify:track:1fDFHXcykq4iw8Gg7s5hG9,0.416,0.762,2,-7.385,1,0.0279,0.312,0.804,0.0559,0.461,95.967,326491,4,Pop
562,spotify:track:4omisSlTk6Dsq2iQD7MA07,0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0.0,0.358,0.484,149.937,204000,4,Pop
569,spotify:track:18GC3F8YPGB8CePXcTUizQ,0.459,0.891,10,-5.057,0,0.0623,0.00511,0.0,0.106,0.588,154.837,203507,4,Pop
572,spotify:track:1oagRT7LfpVlNJN6FSZDGp,0.435,0.887,9,-4.07,1,0.0636,0.000747,0.0,0.0327,0.408,199.935,212040,4,Pop
576,spotify:track:2jYmE3Xg0iNDySUm4mqy6Q,0.467,0.957,10,-4.846,1,0.0454,0.000241,5.62e-06,0.595,0.445,143.832,194333,4,Pop
579,spotify:track:6hwQ69v7VbPhTTR2fOtYX7,0.491,0.966,4,-4.28,1,0.0538,5.59e-05,0.0,0.307,0.614,105.544,202573,4,Pop
581,spotify:track:0BRHnOFm6sjxN1i9LJrUDu,0.494,0.939,1,-3.127,1,0.126,0.00666,0.0,0.139,0.893,177.751,175093,4,Pop
585,spotify:track:6GIrIt2M39wEGwjCQjGChX,0.423,0.94,1,-4.012,0,0.0635,0.00166,0.0,0.178,0.505,149.934,206520,4,Pop
586,spotify:track:6ZR2O1X8X9D8oCUqHuss7h,0.449,0.47,9,-10.584,1,0.0284,0.00321,0.0,0.298,0.541,84.407,273673,4,Pop
587,spotify:track:3ZsexY07D4t4HRq7ogeSAS,0.465,0.896,2,-3.126,1,0.0795,0.00725,0.0,0.206,0.569,181.014,182827,4,Pop
588,spotify:track:0gZp88SA5OcujHLDGkxtI3,0.477,0.907,1,-4.814,0,0.0899,8e-05,7.82e-05,0.149,0.304,81.291,257400,4,Pop
590,spotify:track:23oxJmDc1V9uLUSmN2LIvx,0.486,0.904,6,-3.751,0,0.0638,3.43e-05,2.83e-05,0.0947,0.786,173.734,198267,4,Pop
594,spotify:track:26AYR77170U49cMcXB7aRV,0.411,0.962,4,-5.952,1,0.0917,0.103,0.0,0.529,0.622,173.143,172646,4,Pop
601,spotify:track:6HiBjDRQapX1hsMRT7smAJ,0.429,0.848,6,-5.269,0,0.104,0.0223,0.0,0.348,0.463,172.19,163409,4,Pop
612,spotify:track:2ydUT1pFhuLDnouelIv4WH,0.41,0.959,9,-4.563,1,0.0869,0.000324,0.0,0.0766,0.83,193.155,171600,4,Pop
613,spotify:track:3X5brTFnXMHE6QhqrBPwHa,0.467,0.958,8,-5.581,1,0.223,7.19e-05,0.18,0.347,0.164,144.915,277818,4,Pop
615,spotify:track:4KacUpvbA3Mfo05gttTjhN,0.402,0.914,9,-5.215,1,0.142,0.000579,0.0,0.065,0.626,196.505,178267,4,Pop
617,spotify:track:2TfSHkHiFO4gRztVIkggkE,0.494,0.842,7,-4.784,1,0.0843,0.00579,0.0,0.122,0.574,162.011,229093,4,Pop
625,spotify:track:1MtVWM2E2i6HnMlnNb7p7n,0.48,0.869,6,-3.601,1,0.0374,0.0363,0.00111,0.0913,0.583,89.998,194608,4,Pop
626,spotify:track:2m1hi0nfMR9vdGC8UcrnwU,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,167067,4,Pop
630,spotify:track:0ChpoNjXfJPjMvCIN6so6J,0.449,0.864,1,-3.892,1,0.0352,2.04e-05,0.0,0.108,0.713,167.154,226080,4,Pop
632,spotify:track:0aZJGkkXR3DgaFqo5sB8ot,0.497,0.923,2,-4.512,1,0.138,0.00282,0.0,0.158,0.663,181.074,198000,4,Pop
634,spotify:track:0d8aJLKZI1r4uOSLZBJaBK,0.439,0.945,1,-2.21,1,0.138,0.00677,0.0,0.166,0.455,161.954,195680,4,Pop
636,spotify:track:33iv3wnGMrrDugd7GBso1z,0.494,0.946,4,-2.757,1,0.0637,0.00129,0.0,0.398,0.741,103.408,169027,4,Pop
639,spotify:track:6WkSUgo1VdpzgtiXKlFPcY,0.426,0.972,0,-5.122,1,0.0954,0.0017,0.0,0.171,0.341,111.221,165373,4,Pop
640,spotify:track:1VpTwecl7EbQiGyVsvwFQE,0.416,0.967,9,-2.289,0,0.109,0.000367,0.0,0.0632,0.431,171.032,192787,4,Pop
