,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres,danceability_energy_ratio,danceability_valence_ratio
4,,0.413,0.876,11,-4.577,1,0.057,0.000938,0.000104,0.387,0.341,164.08,214724.0,4,rock,0.361788,0.140833
5,,0.449,0.932,9,-5.314,1,0.101,0.000219,7.96e-05,0.106,0.424,158.031,247320.0,4,rock,0.418468,0.190376
12,,0.477,0.448,4,-6.372,1,0.0495,0.00244,0.000507,0.715,0.679,121.882,271076.0,4,rock,0.213696,0.32388300000000003
30,,0.44,0.913,5,-4.523,1,0.0528,0.00212,0.0,0.207,0.584,158.098,245507.0,4,rock,0.40172,0.25695999999999997
33,,0.428,0.953,2,-5.687,1,0.233,1.66e-05,0.778,0.154,0.385,190.16,275827.0,4,rock,0.40788399999999997,0.16478
38,,0.402,0.985,10,-3.364,0,0.244,2.56e-05,0.00157,0.478,0.334,144.055,220766.0,4,rock,0.39597000000000004,0.13426800000000003
40,,0.421,0.963,9,-2.976,1,0.0502,0.000121,0.0,0.121,0.679,125.239,179920.0,4,rock,0.405423,0.28585900000000003
42,,0.462,0.979,1,-4.255,0,0.0664,0.000899,8.3e-06,0.33,0.542,173.957,171323.0,4,rock,0.45229800000000003,0.250404
46,,0.457,0.834,5,-4.674,0,0.0817,0.00252,0.00125,0.1,0.201,140.032,204677.0,4,rock,0.381138,0.09185700000000001
51,,0.411,0.702,7,-7.085,0,0.04,0.000942,5.2e-06,0.298,0.214,74.965,353947.0,4,rock,0.28852199999999995,0.08795399999999999
55,,0.446,0.974,6,-3.386,1,0.118,4.92e-05,0.806,0.408,0.298,99.058,187291.0,4,rock,0.434404,0.132908
61,,0.475,0.901,9,-4.479,1,0.16,0.00148,2.05e-06,0.0779,0.58,93.016,215319.0,4,rock,0.427975,0.27549999999999997
62,,0.419,0.845,7,-5.878,1,0.0469,0.00105,0.000278,0.113,0.194,161.804,218723.0,4,rock,0.35405499999999995,0.081286
63,,0.469,0.713,0,-5.619,0,0.0461,0.0869,0.000188,0.129,0.267,154.994,241499.0,4,rock,0.33439699999999994,0.125223
64,,0.454,0.952,4,-3.88,0,0.252,0.00172,0.0,0.513,0.49,184.938,172353.0,4,rock,0.432208,0.22246
65,,0.472,0.756,7,-3.294,1,0.0479,0.000121,0.000142,0.0324,0.768,137.011,194730.0,4,rock,0.356832,0.362496
69,,0.464,0.992,3,-3.089,0,0.088,5.38e-05,0.000452,0.199,0.386,151.896,257969.0,4,rock,0.46028800000000003,0.179104
73,,0.474,0.962,7,-4.716,1,0.0638,4.33e-05,0.000308,0.113,0.253,94.991,245240.0,4,rock,0.45598799999999995,0.119922
78,,0.495,0.951,10,-3.01,0,0.149,0.0006,0.0,0.116,0.515,95.01,212082.0,4,rock,0.47074499999999997,0.254925
80,,0.425,0.835,5,-6.24,1,0.0431,0.000454,0.000845,0.118,0.379,76.994,209542.0,4,rock,0.354875,0.161075
82,,0.47,0.857,4,-5.428,1,0.123,0.00423,7.15e-05,0.343,0.593,170.107,198107.0,4,rock,0.40279,0.27870999999999996
83,,0.482,0.973,10,-6.153,0,0.219,0.000164,0.00465,0.113,0.198,94.028,217856.0,4,rock,0.46898599999999996,0.095436
85,,0.441,0.876,11,-3.821,1,0.224,0.00574,0.00287,0.098,0.507,160.904,205780.0,4,rock,0.386316,0.223587
86,,0.488,0.946,3,-5.135,0,0.0544,0.00141,0.0,0.233,0.256,149.894,193840.0,4,rock,0.46164799999999995,0.124928
89,,0.489,0.987,11,-4.57,0,0.0806,7.62e-05,0.0,0.788,0.297,139.982,256742.0,4,rock,0.482643,0.145233
92,,0.418,0.895,4,-5.626,0,0.0966,0.000965,0.000475,0.302,0.218,157.803,279737.0,4,rock,0.37411,0.091124
93,,0.458,0.842,9,-5.378,1,0.0842,0.00457,0.0,0.0876,0.335,147.968,228220.0,4,rock,0.385636,0.15343
94,,0.487,0.886,1,-4.158,1,0.0743,0.00907,0.00876,0.259,0.237,91.015,281380.0,4,rock,0.431482,0.115419
95,,0.477,0.603,5,-6.619,1,0.0341,0.338,0.0,0.0911,0.765,164.084,168659.0,4,rock,0.28763099999999997,0.364905
96,,0.431,0.99,11,-3.407,0,0.062,6.01e-05,0.0467,0.191,0.66,140.021,145367.0,4,rock,0.42669,0.28446
104,,0.409,0.967,10,-3.061,0,0.341,0.000383,0.133,0.236,0.166,194.814,150441.0,4,rock,0.39550299999999994,0.067894
105,,0.452,0.936,4,-3.307,0,0.113,0.000667,3.58e-05,0.159,0.583,157.934,198147.0,4,rock,0.42307200000000006,0.263516
110,,0.424,0.895,2,-4.16,0,0.118,0.0102,0.000911,0.0839,0.42,93.823,190444.0,4,rock,0.37948,0.17808
111,,0.431,0.887,10,-5.645,0,0.0367,3.88e-05,0.00704,0.345,0.475,173.988,167993.0,4,rock,0.382297,0.204725
115,,0.445,0.89,4,-4.897,0,0.0332,1.96e-05,1.01e-06,0.394,0.429,88.013,243740.0,4,rock,0.39605,0.190905
