,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
4,spotify:track:18q5OmlDTbSm8w9J1i17dT,0.413,0.876,11,-4.577,1,0.057,0.000938,0.000104,0.387,0.341,164.08,214724,4,Rock
5,spotify:track:7Gm1XwQL5q72SX76nxuXtW,0.449,0.932,9,-5.314,1,0.101,0.000219,7.96e-05,0.106,0.424,158.031,247320,4,Rock
12,spotify:track:0qhGOjVl3uY2N6CAafVmCa,0.477,0.448,4,-6.372,1,0.0495,0.00244,0.000507,0.715,0.679,121.882,271076,4,Rock
30,spotify:track:0hfEJ8ls6bsD4mE1xLVaJO,0.44,0.913,5,-4.523,1,0.0528,0.00212,0.0,0.207,0.584,158.098,245507,4,Rock
33,spotify:track:4k6NV1b3icM8BRCkT57oPV,0.428,0.953,2,-5.687,1,0.233,1.66e-05,0.778,0.154,0.385,190.16,275827,4,Rock
38,spotify:track:6TuoAUJFtdz4OMshZeaKHW,0.402,0.985,10,-3.364,0,0.244,2.56e-05,0.00157,0.478,0.334,144.055,220766,4,Rock
40,spotify:track:3tKtvdq8ljuxOsXvlhL0sc,0.421,0.963,9,-2.976,1,0.0502,0.000121,0.0,0.121,0.679,125.239,179920,4,Rock
42,spotify:track:0xfMFT9G8Ekk7CEYtVabIm,0.462,0.979,1,-4.255,0,0.0664,0.000899,8.3e-06,0.33,0.542,173.957,171323,4,Rock
46,spotify:track:1H4Y9uW4N0LsxJUz0VnaPJ,0.457,0.834,5,-4.674,0,0.0817,0.00252,0.00125,0.1,0.201,140.032,204677,4,Rock
51,spotify:track:4tjTsxTBcacHcx0AvWERLE,0.411,0.702,7,-7.085,0,0.04,0.000942,5.2e-06,0.298,0.214,74.965,353947,4,Rock
55,spotify:track:1cdCfqSwdXM0BQEDy5Fc7M,0.446,0.974,6,-3.386,1,0.118,4.92e-05,0.806,0.408,0.298,99.058,187291,4,Rock
61,spotify:track:7857xyM9rHHv7rAJsh6tD7,0.475,0.901,9,-4.479,1,0.16,0.00148,2.05e-06,0.0779,0.58,93.016,215319,4,Rock
62,spotify:track:39DDW0Qi6teTpYpu5yUJqP,0.419,0.845,7,-5.878,1,0.0469,0.00105,0.000278,0.113,0.194,161.804,218723,4,Rock
63,spotify:track:6tRneEcItwpSxBtqgem5Dr,0.469,0.713,0,-5.619,0,0.0461,0.0869,0.000188,0.129,0.267,154.994,241499,4,Rock
