Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:65faqt4oHyLxV68wrWX9Yr,0.101,0.0694,4,-23.465,1,0.0352,0.931,0.961,0.31,0.0507,89.389,287000,4
spotify:track:2BdblyBXWeQEcKXKlcl8qz,0.311,0.103,2,-20.311,1,0.0514,0.952,0.212,0.0802,0.105,115.666,1654533,4
spotify:track:3sNF5cTJ02S0XgbtcgL6oz,0.484,0.0404,0,-22.123,1,0.0789,0.986,0.554,0.0606,0.039,64.53,173828,4
spotify:track:6GldbOFvp3qlUoknAVs6zF,0.165,0.0792,1,-24.102,1,0.045,0.988,0.738,0.104,0.0934,72.998,234400,3
spotify:track:3TY9tVyeu2dGSTiPmHkriW,0.189,0.0645,4,-17.647,0,0.0445,0.977,0.918,0.0904,0.0323,125.467,179112,4
spotify:track:2zfb8U8NoFoqpopU4dAKmo,0.105,0.21,8,-15.587,1,0.0362,0.963,0.765,0.108,0.0812,76.18,213000,4
spotify:track:3v5NmQxP5umRsQNm2gae8Q,0.328,0.0415,10,-25.457,1,0.0342,0.986,0.833,0.135,0.119,103.014,407584,4
spotify:track:6FrDCO11hWc3f8IM2zwqcb,0.248,0.0331,7,-23.418,0,0.039,0.894,0.617,0.121,0.0593,107.684,709946,4
spotify:track:4VLgTzZqAJmvYgoOgrxDz5,0.291,0.448,1,-15.518,1,0.0519,0.352,0.929,0.0859,0.0588,145.011,151919,4
spotify:track:7zSwFxXC5rlAzIFEA7iRIm,0.405,0.184,3,-15.258,1,0.0332,0.88,0.125,0.244,0.47,132.284,114933,4
spotify:track:6NobkNN6oq12Hc4XHZNOsM,0.251,0.0241,7,-30.979,1,0.0483,0.992,0.943,0.0777,0.25,78.986,324133,4
spotify:track:2WL2IXgrKhR9EXA6Dtzupd,0.495,0.239,0,-20.59,1,0.0354,0.908,0.667,0.193,0.663,100.408,111676,4
spotify:track:2ljwGgx4794lhTPKa7Vgzs,0.395,0.195,9,-15.082,0,0.0359,0.821,0.756,0.108,0.556,83.793,164442,4
spotify:track:7vxzYMbHlqxdlyRKXtRfDI,0.498,0.0101,2,-34.334,1,0.0519,0.996,0.841,0.0694,0.132,64.28,64480,4
spotify:track:1pY4SmkJak9dvIYqcRDOwu,0.0665,0.016,0,-29.135,0,0.0396,0.883,0.409,0.055,0.0349,61.114,752827,4
spotify:track:3oKK4OBgOs0WSvpaQZ9Fdy,0.181,0.162,7,-18.053,1,0.0416,0.725,0.955,0.106,0.0368,71.128,94542,4
spotify:track:2O1WneirV3WWKF4V1FUHgY,0.121,0.105,4,-18.128,0,0.0461,0.953,0.0061,0.0644,0.0399,67.759,312683,5
spotify:track:0qUPfHMnM7BWnQNf3X8L7s,0.234,0.0452,4,-20.107,1,0.0429,0.981,0.474,0.0942,0.0383,71.736,61653,4
spotify:track:2QqBicn3cwD8xM5XMmIWuK,0.274,0.0269,4,-25.247,1,0.0412,0.995,0.913,0.0906,0.129,77.663,212296,4
spotify:track:6j4okBBH4m7dJ8nbignbT9,0.122,0.149,4,-21.334,0,0.0376,0.901,0.86,0.09,0.039,72.451,682973,4
spotify:track:6zqxyAdyOLz1fP986WA5bS,0.172,0.0174,11,-31.959,1,0.0398,0.976,0.944,0.0925,0.0542,74.057,441595,4
spotify:track:3BXmvJjc152gAMfCWDnnBz,0.396,0.142,10,-23.121,0,0.0507,0.987,0.937,0.104,0.202,112.632,268720,4
spotify:track:1nGEBFo8T0ocMG9aEgdNN9,0.306,0.0532,7,-25.763,0,0.0541,0.978,0.379,0.21,0.274,68.533,161699,3
spotify:track:1CE8uW4BjaX0fXqaBhE806,0.186,0.104,9,-23.737,1,0.0389,0.995,0.876,0.131,0.0386,87.348,79147,3
spotify:track:6dbLtPpAPr78JVLPHl6Jbw,0.122,0.0261,4,-27.504,0,0.0312,0.726,0.872,0.103,0.059,93.691,143427,5
spotify:track:2svVVpEYifm3IRCUNoDyvC,0.416,0.0826,8,-20.117,1,0.0408,0.991,0.884,0.14,0.152,131.661,339160,5
spotify:track:7eqgzr8NsH3p5BmqZSagzB,0.151,0.0876,11,-20.676,0,0.046,0.947,0.654,0.0977,0.106,81.997,519200,4
