Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:0D38vMoJkeN98vTgnuU6e3,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836,4
spotify:track:5irG6CWXdt3nMO8QZozVPl,0.548,0.805,7,-5.732,1,0.351,0.212,0.000405,0.408,0.649,142.096,216387,4
spotify:track:2Kz1c4V2TX8cTbvXeti192,0.581,0.877,8,-4.938,1,0.114,0.0151,0.0,0.826,0.353,77.006,236883,4
spotify:track:1rzmPv0rIMG1AOojPlthGy,0.584,0.547,7,-8.502,0,0.382,0.655,1.64e-06,0.134,0.56,83.917,160000,4
spotify:track:5E5ir08Hw40pJkT0Q3iSRD,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.39,112.509,145543,4
spotify:track:2ISG5hl4RPXasxNdkCMx9F,0.78,0.754,5,-5.377,0,0.0953,0.135,0.034,0.0467,0.81,82.392,260307,4
spotify:track:2QnnPZkylgrTbhsauvCzuO,0.632,0.596,0,-8.894,1,0.039,0.479,3.59e-05,0.307,0.269,115.301,295693,4
spotify:track:7pKGRUeQJRPuJYLrsX58JY,0.583,0.471,10,-7.972,0,0.187,0.316,0.0,0.0669,0.535,95.121,184483,4
spotify:track:0JbVKaD4dhW9woTFCiokcZ,0.673,0.649,1,-8.433,0,0.196,0.188,0.0,0.122,0.47,153.075,153800,4
spotify:track:62jectVrYXfyIdUZorZQVC,0.745,0.642,7,-6.257,0,0.287,0.0199,0.0,0.0658,0.226,179.974,131280,4
spotify:track:58dz34ETWqzGy9gAAUkooz,0.77,0.786,11,-3.909,1,0.368,0.189,0.0,0.129,0.837,126.764,159715,4
spotify:track:5VJ5IcGOAVllQizQ4XfojZ,0.834,0.546,1,-6.277,1,0.187,0.458,0.0,0.191,0.501,129.92,168648,4
spotify:track:2H0iHXAMvJTn9I7gjFGedf,0.772,0.413,0,-8.194,0,0.0891,0.0361,0.0,0.111,0.211,131.964,246213,4
spotify:track:1L56tJLi6nFKm4R26LY24R,0.792,0.707,7,-5.218,0,0.0623,0.116,0.0,0.12,0.408,134.997,224042,4
spotify:track:7yBYetPaUONSlyuzuOcWOP,0.793,0.395,1,-5.578,1,0.385,0.277,1.4e-05,0.109,0.128,76.984,213287,4
spotify:track:3uh6e6a9HP8NjJuaszihPQ,0.73,0.807,3,-6.475,0,0.114,0.179,0.722,0.28,0.727,114.715,179280,4
spotify:track:5NtNAE5mihlhAk7Cg5ItvW,0.691,0.829,0,-7.179,1,0.0412,0.0289,0.0,0.254,0.866,93.059,169154,4
spotify:track:1dH685mPv6Y4FxztOZHxbt,0.807,0.659,11,-6.92,1,0.332,0.0224,0.0,0.309,0.438,82.465,168727,4
spotify:track:4qRfn14jQJ611HygjQzrCv,0.767,0.538,0,-6.044,0,0.052,0.68,0.0,0.192,0.343,81.029,121680,4
spotify:track:5YMLeDkuoP7xIgUfa2q87h,0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,183907,4
spotify:track:7BBOMxOfecoK6zEApozNRb,0.705,0.722,5,-3.762,1,0.0546,0.215,0.0,0.126,0.635,119.879,238320,4
spotify:track:0bazFQTDtGCQBx0thha5vY,0.794,0.633,0,-6.156,1,0.0649,0.143,0.0,0.128,0.357,145.924,291893,4
spotify:track:5JbxY1yulSNHXVQmQ93CpE,0.699,0.558,11,-7.622,1,0.0603,0.462,0.0,0.116,0.493,79.992,165000,4
spotify:track:4zn6v2lpLLNGEdZhPNm3PP,0.681,0.314,8,-9.319,1,0.0583,0.2,9.82e-06,0.1,0.166,139.991,208120,4
spotify:track:6zOK9rkpnTFwod5ChWtvRI,0.824,0.733,1,-5.474,1,0.0614,0.0362,0.0,0.325,0.395,97.971,284387,4
spotify:track:0pdejafO5u9T0baqcb1ykY,0.866,0.643,1,-6.954,0,0.288,0.0393,0.0,0.0592,0.755,97.874,169570,4
spotify:track:16YQYdIEUBaTigpZEKfdT2,0.28,0.822,8,-2.864,0,0.112,0.165,0.0,0.139,0.255,181.434,256163,3
spotify:track:5oQlpIVvPfdM7yVDbKodBg,0.719,0.538,11,-6.897,0,0.28,0.628,0.0,0.135,0.803,204.132,117013,4
spotify:track:3thxcVZ4B4frjDvhnrrKCS,0.611,0.864,7,-7.073,0,0.322,0.00627,0.0,0.22,0.73,124.8,218760,4
spotify:track:15H8TuHm3hsH7nGuS5BPXy,0.623,0.594,5,-7.766,0,0.0418,0.55,0.0,0.179,0.363,100.038,250200,4
spotify:track:4UpEUY9JSISc5QoE7MgpRj,0.673,0.529,0,-7.226,1,0.306,0.0769,0.000338,0.0856,0.203,161.991,165820,4
spotify:track:5QpaEmIe7XXXFBlotmtbdm,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.979,181733,4
spotify:track:0JaAxWMWcZqs7xgEirHXx8,0.625,0.811,0,-5.183,1,0.0659,0.0173,0.0,0.16,0.532,144.994,205485,4
spotify:track:33tcoBetv1x4Ko62vBnSri,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,162547,4
spotify:track:4BJ2NN6XquqrivbqiP1yPd,0.732,0.69,0,-4.992,0,0.134,0.291,0.0,0.116,0.758,143.072,206307,4
spotify:track:6jirASTIMeOGwtROFSaRb5,0.809,0.545,7,-6.678,1,0.0734,0.392,0.0,0.151,0.244,97.008,180435,4
